community,community_total_time,community_score,sequence_title,sequence_type
2,1245.2059452,24.282265880289383,Actions (including ) in EN.WIKIPEDIA.ORG Training CRM Application アプリケーショ หนึ่งปีปฏิทิน ÜüẞÜüẞ जाल में झूलती मकड़ी को देख आप,Other
3,1545.4745626000001,30.137684762057244,Actions (including ) in HELP.NICE-AUTOMATION.COM,Other
4,304.6464226,5.461651938586394,Copied text and other actions () in SPTH.GOB.ES wab,Copy Paste
5,627.0401254999999,12.227660094054153,Actions (including  Return) in EN.WIKIPEDIA.ORG ACCOUNTS.GOOGLE.COM LOGIN.YAHOO.COM,Other
6,924.0632264999997,17.96449613556261,Actions (including  Return) in EN.WIKIPEDIA.ORG NICEONLINE.SHAREPOINT.COM,Other
7,1098.9356704000002,21.42990742764313,Actions (including  Return) in RTClient NICE.COM घर की छत पर कोनों से लटकते ÄäÖöÄäÖö ในหนึ่งสัป ンのトレーニング LOGIN.YAHOO.COM,Other
8,329.8521549,6.401516661074163,Actions (including ) in RTClient MAIL.YAHOO.COM NICEONLINE.SHAREPOINT.COM,Other
9,893.0986751999999,17.415962052010137,Actions (including  Return) in EN.WIKIPEDIA.ORG NICE.COM घर की छत पर कोनों से लटकते ÄäÖöÄäÖö ในหนึ่งสัป ンのトレーニング NICEONLINE.SHAREPOINT.COM,Other
10,345.61737439999996,6.739746955416578,Actions (including ) in EN.WIKIPEDIA.ORG ASIANWIKI.COM GOOGLE.COM,Other
11,1257.4676026999998,24.521375586355095,Actions (including ) in SPTH.GOB.ES NICE.COM घर की छत पर कोनों से लटकते ÄäÖöÄäÖö ในหนึ่งสัป ンのトレーニング NICEONLINE.SHAREPOINT.COM,Other
12,460.6846137,8.9836274231931,Actions (including ) in GOOGLE.COM EN.WIKIPEDIA.ORG,Other
13,706.7246923000002,13.76547009448922,Actions (including ) in Training CRM Application アプリケーショ หนึ่งปีปฏิทิน ÜüẞÜüẞ जाल में झूलती मकड़ी को देख आप,Other
14,561.9049279000001,10.957484511946449,Actions (including ) in EN.WIKIPEDIA.ORG EDITION.CNN.COM,Other
15,481.9913411,9.399121439873651,Actions (including  Return) in GOOGLE.COM WIKIPEDIA.ORG,Other
16,300.12147920000007,5.8525495982511,Actions (including ) in EN.WIKIPEDIA.ORG,Other
17,429.069163,8.367107093538495,Actions (including ) in EN.WIKIPEDIA.ORG ASIANWIKI.COM,Other
18,803.6659247000001,15.671969554690518,Actions (including  Return) in EN.WIKIPEDIA.ORG BRITANNICA.COM LOGIN.YAHOO.COM,Other
19,566.1197394,11.039675874646585,Actions (including ) in HELP.NICE-AUTOMATION.COM NICE.COM घर की छत पर कोनों से लटकते ÄäÖöÄäÖö ในหนึ่งสัป ンのトレーニング NICEONLINE.SHAREPOINT.COM,Other
20,381.7391522,7.333455871612671,Copied text and other actions (Return) in HELP.NICE-AUTOMATION.COM NICEONLINE.SHAREPOINT.COM WIKIPEDIA.ORG,Other
21,887.9057207999998,17.314696313654895,Actions (including  Return) in RTClient rti_nativehost GOOGLE.COM,Other
22,653.0945362999998,12.73573679641704,Actions (including  Return) in EN.WIKIPEDIA.ORG LOGIN.YAHOO.COM,Other
23,344.27179780000006,6.713507401317559,Actions (including ) in EN.WIKIPEDIA.ORG,Other
